job_id,customer_id,backup_date,backup_size_gb,backup_status,backup_duration_min,recovery_time_min,storage_cost_usd,cloud_provider,region
1,1,2025-01-01,2480.93,Success,24.81,29.772,49.62,AWS,Europe
2,1,2025-01-02,2277.32,Failed,22.77,0.0,45.55,AWS,Europe
3,1,2025-01-03,3518.33,Success,35.18,42.216,70.37,AWS,Europe
4,1,2025-01-04,1689.52,Success,16.9,20.279999999999998,33.79,AWS,Europe
5,1,2025-01-05,4297.44,Success,42.97,51.564,85.95,AWS,Europe
6,1,2025-01-06,3174.12,Success,31.74,38.087999999999994,63.48,AWS,Europe
7,1,2025-01-07,3392.69,Success,33.93,40.716,67.85,AWS,Europe
8,1,2025-01-08,3258.66,Success,32.59,39.108000000000004,65.17,AWS,Europe
9,1,2025-01-09,2878.01,Success,28.78,34.536,57.56,AWS,Europe
10,1,2025-01-10,3902.19,Success,39.02,46.824000000000005,78.04,AWS,Europe
11,1,2025-01-11,2111.8,Success,21.12,25.344,42.24,AWS,Europe
12,1,2025-01-12,4917.78,Failed,49.18,0.0,98.36,AWS,Europe
13,1,2025-01-13,3943.86,Success,39.44,47.327999999999996,78.88,AWS,Europe
14,1,2025-01-14,3110.25,Success,31.1,37.32,62.2,AWS,Europe
15,1,2025-01-15,3912.24,Success,39.12,46.943999999999996,78.24,AWS,Europe
16,1,2025-01-16,1541.37,Success,15.41,18.492,30.83,AWS,Europe
17,1,2025-01-17,2237.63,Success,22.38,26.855999999999998,44.75,AWS,Europe
18,1,2025-01-18,3533.53,Success,35.34,42.408,70.67,AWS,Europe
19,1,2025-01-19,2639.03,Success,26.39,31.668,52.78,AWS,Europe
20,1,2025-01-20,3644.72,Success,36.45,43.74,72.89,AWS,Europe
21,1,2025-01-21,2408.95,Success,24.09,28.907999999999998,48.18,AWS,Europe
22,1,2025-01-22,3419.97,Success,34.2,41.04,68.4,AWS,Europe
23,1,2025-01-23,2329.99,Success,23.3,27.96,46.6,AWS,Europe
24,1,2025-01-24,3149.71,Success,31.5,37.8,62.99,AWS,Europe
25,1,2025-01-25,3645.79,Success,36.46,43.752,72.92,AWS,Europe
26,1,2025-01-26,2780.73,Success,27.81,33.372,55.61,AWS,Europe
27,1,2025-01-27,3245.7,Success,32.46,38.952,64.91,AWS,Europe
28,1,2025-01-28,2236.86,Success,22.37,26.844,44.74,AWS,Europe
29,1,2025-01-29,3952.49,Success,39.52,47.424,79.05,AWS,Europe
30,1,2025-01-30,2803.08,Success,28.03,33.636,56.06,AWS,Europe
31,1,2025-01-31,4490.14,Success,44.9,53.879999999999995,89.8,AWS,Europe
32,1,2025-02-01,2478.7,Success,24.79,29.747999999999998,49.57,AWS,Europe
33,1,2025-02-02,2129.61,Success,21.3,25.56,42.59,AWS,Europe
34,1,2025-02-03,1958.99,Failed,19.59,0.0,39.18,AWS,Europe
35,1,2025-02-04,3515.62,Failed,35.16,0.0,70.31,AWS,Europe
36,1,2025-02-05,2299.98,Success,23.0,27.599999999999998,46.0,AWS,Europe
37,1,2025-02-06,1849.54,Success,18.5,22.2,36.99,AWS,Europe
38,1,2025-02-07,2444.82,Success,24.45,29.339999999999996,48.9,AWS,Europe
39,1,2025-02-08,2325.32,Success,23.25,27.9,46.51,AWS,Europe
40,1,2025-02-09,3012.77,Success,30.13,36.156,60.26,AWS,Europe
41,1,2025-02-10,2833.09,Success,28.33,33.995999999999995,56.66,AWS,Europe
42,1,2025-02-11,2010.45,Success,20.1,24.12,40.21,AWS,Europe
43,1,2025-02-12,4857.02,Success,48.57,58.284,97.14,AWS,Europe
44,1,2025-02-13,2023.42,Success,20.23,24.276,40.47,AWS,Europe
45,1,2025-02-14,4319.84,Success,43.2,51.84,86.4,AWS,Europe
46,1,2025-02-15,2118.13,Success,21.18,25.416,42.36,AWS,Europe
47,1,2025-02-16,3248.59,Success,32.49,38.988,64.97,AWS,Europe
48,1,2025-02-17,4984.47,Success,49.84,59.808,99.69,AWS,Europe
49,1,2025-02-18,4472.86,Success,44.73,53.675999999999995,89.46,AWS,Europe
50,1,2025-02-19,3309.52,Success,33.1,39.72,66.19,AWS,Europe
51,2,2025-01-01,230.14,Success,2.3,2.76,4.6,Google Cloud,North America
52,2,2025-01-02,246.33,Success,2.46,2.952,4.93,Google Cloud,North America
53,2,2025-01-03,125.01,Success,1.25,1.5,2.5,Google Cloud,North America
54,2,2025-01-04,190.53,Success,1.91,2.292,3.81,Google Cloud,North America
55,2,2025-01-05,191.96,Success,1.92,2.304,3.84,Google Cloud,North America
56,2,2025-01-06,149.6,Success,1.5,1.7999999999999998,2.99,Google Cloud,North America
57,2,2025-01-07,222.64,Success,2.23,2.6759999999999997,4.45,Google Cloud,North America
58,2,2025-01-08,65.01,Success,0.65,0.78,1.3,Google Cloud,North America
59,2,2025-01-09,253.45,Success,2.53,3.0359999999999996,5.07,Google Cloud,North America
60,2,2025-01-10,169.13,Success,1.69,2.028,3.38,Google Cloud,North America
61,2,2025-01-11,207.47,Success,2.07,2.4839999999999995,4.15,Google Cloud,North America
62,2,2025-01-12,162.46,Success,1.62,1.944,3.25,Google Cloud,North America
63,2,2025-01-13,133.66,Success,1.34,1.608,2.67,Google Cloud,North America
64,2,2025-01-14,140.24,Success,1.4,1.68,2.8,Google Cloud,North America
65,2,2025-01-15,190.09,Success,1.9,2.28,3.8,Google Cloud,North America
66,2,2025-01-16,282.96,Success,2.83,3.396,5.66,Google Cloud,North America
67,2,2025-01-17,114.43,Success,1.14,1.3679999999999999,2.29,Google Cloud,North America
68,2,2025-01-18,54.96,Success,0.55,0.66,1.1,Google Cloud,North America
69,2,2025-01-19,80.31,Success,0.8,0.96,1.61,Google Cloud,North America
70,2,2025-01-20,266.84,Failed,2.67,0.0,5.34,Google Cloud,North America
71,2,2025-01-21,290.78,Success,2.91,3.492,5.82,Google Cloud,North America
72,2,2025-01-22,99.74,Success,1.0,1.2,1.99,Google Cloud,North America
73,2,2025-01-23,193.97,Success,1.94,2.328,3.88,Google Cloud,North America
74,2,2025-01-24,212.28,Success,2.12,2.544,4.25,Google Cloud,North America
75,2,2025-01-25,93.63,Success,0.94,1.128,1.87,Google Cloud,North America
76,2,2025-01-26,245.08,Success,2.45,2.94,4.9,Google Cloud,North America
77,2,2025-01-27,138.78,Success,1.39,1.668,2.78,Google Cloud,North America
78,2,2025-01-28,218.3,Success,2.18,2.616,4.37,Google Cloud,North America
79,2,2025-01-29,171.87,Success,1.72,2.064,3.44,Google Cloud,North America
80,2,2025-01-30,234.13,Success,2.34,2.808,4.68,Google Cloud,North America
81,2,2025-01-31,272.41,Success,2.72,3.2640000000000002,5.45,Google Cloud,North America
82,2,2025-02-01,145.27,Success,1.45,1.74,2.91,Google Cloud,North America
83,2,2025-02-02,121.63,Success,1.22,1.464,2.43,Google Cloud,North America
84,2,2025-02-03,207.93,Success,2.08,2.496,4.16,Google Cloud,North America
85,2,2025-02-04,86.21,Success,0.86,1.032,1.72,Google Cloud,North America
86,2,2025-02-05,91.89,Success,0.92,1.104,1.84,Google Cloud,North America
87,2,2025-02-06,251.93,Success,2.52,3.024,5.04,Google Cloud,North America
88,2,2025-02-07,134.35,Success,1.34,1.608,2.69,Google Cloud,North America
89,2,2025-02-08,207.82,Success,2.08,2.496,4.16,Google Cloud,North America
90,2,2025-02-09,192.91,Success,1.93,2.316,3.86,Google Cloud,North America
91,2,2025-02-10,262.23,Success,2.62,3.144,5.24,Google Cloud,North America
92,2,2025-02-11,67.84,Success,0.68,0.8160000000000001,1.36,Google Cloud,North America
93,2,2025-02-12,90.5,Success,0.91,1.092,1.81,Google Cloud,North America
94,2,2025-02-13,107.05,Success,1.07,1.284,2.14,Google Cloud,North America
95,2,2025-02-14,129.22,Success,1.29,1.548,2.58,Google Cloud,North America
96,2,2025-02-15,122.84,Success,1.23,1.476,2.46,Google Cloud,North America
97,2,2025-02-16,116.87,Success,1.17,1.404,2.34,Google Cloud,North America
98,2,2025-02-17,211.16,Success,2.11,2.5319999999999996,4.22,Google Cloud,North America
99,2,2025-02-18,117.81,Success,1.18,1.416,2.36,Google Cloud,North America
100,2,2025-02-19,161.22,Success,1.61,1.932,3.22,Google Cloud,North America
101,3,2025-01-01,265.7,Success,2.66,3.192,5.31,AWS,North America
102,3,2025-01-02,140.79,Success,1.41,1.692,2.82,AWS,North America
103,3,2025-01-03,196.73,Success,1.97,2.364,3.93,AWS,North America
104,3,2025-01-04,291.38,Success,2.91,3.492,5.83,AWS,North America
105,3,2025-01-05,153.5,Success,1.53,1.8359999999999999,3.07,AWS,North America
106,3,2025-01-06,95.97,Success,0.96,1.152,1.92,AWS,North America
107,3,2025-01-07,55.78,Success,0.56,0.672,1.12,AWS,North America
108,3,2025-01-08,231.94,Success,2.32,2.784,4.64,AWS,North America
109,3,2025-01-09,215.51,Success,2.16,2.592,4.31,AWS,North America
110,3,2025-01-10,285.11,Success,2.85,3.42,5.7,AWS,North America
111,3,2025-01-11,225.17,Success,2.25,2.6999999999999997,4.5,AWS,North America
112,3,2025-01-12,70.02,Success,0.7,0.84,1.4,AWS,North America
113,3,2025-01-13,91.73,Success,0.92,1.104,1.83,AWS,North America
114,3,2025-01-14,75.75,Success,0.76,0.9119999999999999,1.52,AWS,North America
