customer_id,company_name,industry,cloud_provider,company_size,region,subscription_plan
1,Leach-Dunn,Finance,AWS,Large,Europe,Standard
2,Knight Inc,Healthcare,Google Cloud,Small,North America,Enterprise
3,Garcia-Cohen,Technology,AWS,Small,North America,Standard
4,Hayes-Marsh,Healthcare,Google Cloud,Small,Europe,Enterprise
5,Mason Group,Manufacturing,Azure,Medium,South America,Enterprise
6,Lewis PLC,Retail,AWS,Medium,South America,Premium
7,Bullock Group,Retail,AWS,Medium,Asia Pacific,Standard
8,Park LLC,Finance,Azure,Small,Asia Pacific,Premium
9,Ortiz Ltd,Manufacturing,Azure,Small,South America,Enterprise
10,"Johnson, Holt and Lopez",Finance,Azure,Small,Asia Pacific,Enterprise
11,Lopez-Washington,Manufacturing,Azure,Medium,North America,Standard
12,Mora Ltd,Healthcare,Azure,Small,Europe,Standard
13,"Lee, Roman and Harris",Technology,Azure,Enterprise,Asia Pacific,Standard
14,"Rodriguez, Burns and Allison",Retail,Azure,Medium,Asia Pacific,Enterprise
15,Forbes-Gregory,Finance,Google Cloud,Medium,Europe,Standard
16,Spencer LLC,Technology,Azure,Large,Europe,Enterprise
17,"Chavez, Morton and Beltran",Retail,AWS,Medium,North America,Premium
18,Sullivan and Sons,Technology,Azure,Small,Europe,Enterprise
19,Castro-Smith,Retail,AWS,Enterprise,South America,Enterprise
20,Peterson-Tapia,Technology,AWS,Large,Europe,Standard
21,"Hart, Stewart and Ross",Manufacturing,Google Cloud,Large,South America,Enterprise
22,Kramer-Ross,Technology,Azure,Medium,Europe,Enterprise
23,"Johnson, Orozco and Bailey",Technology,AWS,Small,North America,Standard
24,"Conway, Mills and Malone",Healthcare,Google Cloud,Enterprise,North America,Premium
25,Martin LLC,Technology,Google Cloud,Enterprise,Asia Pacific,Enterprise
26,"Simpson, Baker and Strickland",Finance,Google Cloud,Small,Asia Pacific,Enterprise
27,"Patterson, Wallace and Suarez",Retail,AWS,Large,South America,Standard
28,May and Sons,Technology,AWS,Large,Europe,Enterprise
29,Hendricks-Fernandez,Finance,Google Cloud,Large,Europe,Standard
30,Barnes-Nichols,Retail,AWS,Small,Asia Pacific,Premium
31,Hood Group,Finance,AWS,Large,Asia Pacific,Standard
32,Singh-Smith,Finance,AWS,Small,North America,Enterprise
33,Miller LLC,Technology,AWS,Medium,Europe,Enterprise
34,"Mccoy, Rodriguez and Clarke",Technology,Google Cloud,Medium,Asia Pacific,Enterprise
35,Jensen Ltd,Manufacturing,Azure,Medium,Europe,Enterprise
36,Garcia-Fuller,Retail,Azure,Large,South America,Enterprise
37,Baker Inc,Technology,AWS,Medium,Europe,Standard
38,"Jones, Nicholson and Gutierrez",Retail,AWS,Medium,Europe,Standard
39,Moore-Weeks,Finance,Google Cloud,Small,Europe,Standard
40,Butler Inc,Finance,Azure,Small,Europe,Premium
41,Hayes Ltd,Technology,AWS,Medium,South America,Standard
42,Carroll Inc,Technology,Azure,Medium,North America,Standard
43,Porter-Myers,Technology,Azure,Enterprise,South America,Premium
44,Mcintyre-Calderon,Finance,Google Cloud,Small,North America,Premium
45,"Walker, Harris and Glass",Retail,AWS,Medium,Europe,Standard
46,"Reed, Miller and Saunders",Manufacturing,Azure,Medium,South America,Standard
47,Adams Group,Retail,Azure,Medium,North America,Premium
48,Powell-Garcia,Manufacturing,AWS,Small,North America,Standard
49,Harris Group,Healthcare,AWS,Enterprise,South America,Premium
50,Cardenas-Alexander,Healthcare,Azure,Small,Europe,Premium
51,"Vasquez, Patel and Contreras",Finance,Azure,Large,South America,Premium
52,"Thomas, Sullivan and Estes",Technology,Google Cloud,Enterprise,Europe,Standard
53,Jones PLC,Retail,AWS,Small,North America,Enterprise
54,"Cordova, Long and Lopez",Retail,AWS,Small,South America,Enterprise
55,Bryan and Sons,Manufacturing,AWS,Small,North America,Standard
56,Moore Group,Finance,Google Cloud,Small,Europe,Premium
57,Perez Group,Finance,Google Cloud,Medium,North America,Enterprise
58,Mann PLC,Finance,Azure,Large,Asia Pacific,Standard
59,Greene-Kemp,Retail,AWS,Large,South America,Standard
60,Alexander-Conner,Retail,Azure,Large,North America,Standard
61,Adkins Inc,Technology,Google Cloud,Small,North America,Enterprise
62,Barnett-Ballard,Healthcare,Google Cloud,Large,Europe,Premium
63,"Adams, Martin and Cruz",Finance,AWS,Large,Asia Pacific,Standard
64,"Brown, Gibson and Smith",Technology,Google Cloud,Large,North America,Enterprise
65,Nolan-Brown,Manufacturing,Azure,Small,Europe,Premium
66,"Rodriguez, Moore and Meyers",Finance,AWS,Medium,Asia Pacific,Premium
67,Anderson Ltd,Manufacturing,AWS,Large,Europe,Enterprise
68,Brewer-Alexander,Retail,Google Cloud,Enterprise,Asia Pacific,Standard
69,Campbell and Sons,Finance,Google Cloud,Enterprise,Asia Pacific,Standard
70,Goodwin-Bennett,Finance,Azure,Medium,Asia Pacific,Standard
71,"Schultz, Buchanan and Fritz",Technology,Google Cloud,Enterprise,North America,Standard
72,"Lopez, Callahan and Gallagher",Finance,Google Cloud,Medium,North America,Premium
73,Douglas PLC,Manufacturing,Google Cloud,Medium,South America,Standard
74,Sutton-Simmons,Finance,Azure,Large,North America,Premium
75,"Cooper, Jackson and Davis",Healthcare,Google Cloud,Medium,North America,Premium
76,"Cherry, Sherman and Wilson",Manufacturing,Azure,Medium,Europe,Standard
77,"Smith, Chen and Martinez",Healthcare,Azure,Small,Europe,Enterprise
78,Lopez Ltd,Retail,Azure,Medium,Asia Pacific,Standard
79,Lane Inc,Finance,Azure,Small,South America,Standard
80,Spencer-Evans,Healthcare,Azure,Large,Asia Pacific,Standard
81,Rios-Walker,Healthcare,AWS,Medium,South America,Premium
