customer_id,month,storage_used_tb
1,1,0.13
1,2,0.76
1,3,1.42
1,4,2.18
1,5,2.32
1,6,2.76
1,7,3.26
1,8,3.56
1,9,3.78
1,10,4.12
1,11,5.06
1,12,5.34
2,1,0.18
2,2,0.49
2,3,1.43
2,4,1.98
2,5,2.85
2,6,3.37
2,7,4.09
2,8,4.6
2,9,5.48
2,10,5.96
2,11,6.79
2,12,7.34
3,1,0.53
3,2,0.96
3,3,1.32
3,4,1.86
3,5,1.99
3,6,2.79
3,7,3.39
3,8,3.71
3,9,3.91
3,10,4.34
3,11,4.98
3,12,5.53
4,1,0.96
4,2,1.76
4,3,2.62
4,4,3.27
4,5,3.72
4,6,3.86
4,7,4.34
4,8,4.81
4,9,5.2
4,10,6.11
4,11,6.57
4,12,7.53
5,1,0.48
5,2,1.11
5,3,1.41
5,4,1.63
5,5,2.27
5,6,3.04
5,7,3.84
5,8,4.48
5,9,4.61
5,10,5.27
5,11,6.19
5,12,7.06
6,1,0.6
6,2,0.88
6,3,1.31
6,4,1.43
6,5,2.21
6,6,3.13
6,7,3.83
6,8,4.27
6,9,4.47
6,10,4.89
6,11,5.38
6,12,6.04
7,1,0.97
7,2,1.93
7,3,2.79
7,4,3.63
7,5,4.38
7,6,5.24
7,7,5.8
7,8,6.3
7,9,6.86
7,10,7.55
7,11,8.04
7,12,8.55
8,1,0.58
8,2,0.96
8,3,1.83
8,4,1.95
8,5,2.3
8,6,2.75
8,7,2.95
8,8,3.18
8,9,3.49
8,10,3.96
8,11,4.32
8,12,4.75
9,1,0.48
9,2,0.77
9,3,1.21
9,4,1.97
9,5,2.41
9,6,3.36
9,7,3.95
9,8,4.71
9,9,4.99
9,10,5.63
9,11,6.43
9,12,7.24
10,1,0.88
10,2,1.16
10,3,1.31
10,4,1.65
10,5,2.42
10,6,2.6
10,7,2.9
10,8,3.52
10,9,4.47
10,10,5.07
10,11,5.88
10,12,6.78
11,1,0.36
11,2,0.93
11,3,1.53
11,4,2.25
11,5,2.54
11,6,3.27
11,7,4.17
11,8,4.35
11,9,4.65
11,10,5.05
11,11,5.54
11,12,6.25
12,1,0.81
12,2,1.56
12,3,2.31
12,4,2.96
12,5,3.68
12,6,4.09
12,7,4.19
12,8,4.44
12,9,4.66
12,10,5.49
12,11,6.13
12,12,6.77
13,1,0.88
13,2,1.04
13,3,1.32
13,4,1.43
13,5,1.78
13,6,2.65
13,7,3.52
13,8,4.25
13,9,4.93
13,10,5.81
13,11,5.95
13,12,6.68
14,1,0.51
14,2,0.87
14,3,1.53
14,4,2.44
14,5,2.61
14,6,2.91
14,7,3.14
14,8,3.36
14,9,4.22
14,10,4.68
14,11,5.15
14,12,5.52
15,1,0.31
15,2,1.14
15,3,1.92
15,4,2.51
15,5,2.69
15,6,3.27
15,7,3.97
15,8,4.69
15,9,4.98
15,10,5.3
15,11,5.57
15,12,5.88
16,1,0.48
16,2,0.98
16,3,1.75
16,4,2.7
16,5,3.63
16,6,4.08
16,7,4.44
16,8,5.37
16,9,5.71
16,10,6.4
16,11,6.57
16,12,6.92
17,1,0.42
17,2,1.31
17,3,1.48
17,4,2.17
17,5,2.55
17,6,2.74
17,7,2.94
17,8,3.1
17,9,3.55
17,10,4.48
17,11,5.11
17,12,5.79
18,1,0.23
18,2,1.16
18,3,1.96
18,4,2.22
18,5,3.13
18,6,3.29
18,7,3.93
18,8,4.68
18,9,5.29
18,10,6.19
18,11,6.59
18,12,7.28
19,1,0.97
19,2,1.25
19,3,1.92
19,4,2.05
19,5,2.95
19,6,3.08
19,7,3.77
19,8,4.4
19,9,4.95
19,10,5.12
19,11,5.22
19,12,5.46
20,1,0.23
20,2,1.03
20,3,1.7
20,4,2.57
20,5,3.26
20,6,4.08
20,7,4.44
20,8,5.19
