recovery_id,job_id,customer_id,recovery_status,recovery_duration_min
1,2,1,Partially Successful,169.03
2,12,1,Failed,155.29
3,34,1,Failed,48.47
4,35,1,Successful,48.29
5,70,2,Successful,83.92
6,155,4,Partially Successful,57.11
7,227,5,Failed,84.37
8,248,5,Partially Successful,168.09
9,249,5,Failed,107.77
10,262,6,Successful,29.66
11,306,7,Partially Successful,103.59
12,314,7,Successful,141.68
13,391,8,Successful,148.79
14,442,9,Partially Successful,25.46
15,447,9,Successful,120.67
16,476,10,Failed,166.87
17,500,10,Successful,43.17
18,519,11,Successful,141.0
19,523,11,Partially Successful,106.31
20,532,11,Partially Successful,145.78
21,533,11,Partially Successful,142.77
22,582,12,Successful,103.78
23,616,13,Partially Successful,102.39
24,632,13,Partially Successful,101.02
25,646,13,Failed,161.78
26,662,14,Failed,85.41
27,676,14,Failed,22.48
28,679,14,Successful,46.71
29,706,15,Successful,110.01
30,718,15,Successful,79.77
31,752,16,Failed,94.74
32,790,16,Failed,109.92
33,797,16,Successful,54.44
34,811,17,Failed,62.77
35,844,17,Successful,68.7
36,848,17,Successful,70.68
37,906,19,Partially Successful,23.64
38,918,19,Failed,79.92
39,923,19,Successful,29.74
40,933,19,Partially Successful,84.56
41,938,19,Successful,74.9
42,948,19,Failed,114.93
43,972,20,Successful,84.7
44,999,20,Successful,23.91
45,1012,21,Partially Successful,152.8
46,1013,21,Failed,167.27
47,1024,21,Failed,127.29
48,1025,21,Failed,132.09
49,1055,22,Successful,132.46
50,1062,22,Partially Successful,111.57
51,1075,22,Partially Successful,51.93
52,1089,22,Successful,75.57
53,1105,23,Successful,56.96
54,1158,24,Partially Successful,169.09
55,1172,24,Successful,153.01
56,1181,24,Partially Successful,156.98
57,1184,24,Failed,79.33
58,1186,24,Partially Successful,149.52
59,1197,24,Failed,131.28
60,1198,24,Successful,55.21
61,1210,25,Partially Successful,140.51
62,1221,25,Failed,94.72
63,1224,25,Failed,149.32
64,1229,25,Partially Successful,20.49
65,1231,25,Partially Successful,177.98
66,1239,25,Partially Successful,30.96
67,1249,25,Successful,103.12
68,1278,26,Failed,158.56
69,1302,27,Partially Successful,68.87
70,1325,27,Failed,110.25
71,1334,27,Successful,118.8
72,1335,27,Failed,127.58
73,1349,27,Partially Successful,85.48
74,1371,28,Successful,115.48
75,1383,28,Successful,78.66
76,1389,28,Partially Successful,108.59
77,1416,29,Partially Successful,63.92
78,1420,29,Partially Successful,134.58
79,1425,29,Failed,70.68
80,1426,29,Successful,89.04
81,1428,29,Partially Successful,103.1
82,1441,29,Partially Successful,149.92
83,1449,29,Partially Successful,125.69
84,1465,30,Successful,44.73
85,1513,31,Failed,145.68
86,1522,31,Failed,136.12
87,1545,31,Partially Successful,170.66
88,1585,32,Failed,166.86
89,1592,32,Failed,93.12
90,1617,33,Failed,160.25
91,1639,33,Failed,83.45
92,1665,34,Successful,111.64
93,1682,34,Successful,160.8
94,1699,34,Partially Successful,119.82
95,1701,35,Partially Successful,26.63
96,1716,35,Successful,28.51
97,1719,35,Failed,68.97
98,1728,35,Successful,147.73
99,1755,36,Successful,21.68
100,1757,36,Successful,152.3
101,1774,36,Failed,169.34
102,1816,37,Successful,36.95
103,1828,37,Failed,51.36
104,1831,37,Failed,37.64
105,1865,38,Successful,59.08
106,1890,38,Partially Successful,171.59
107,1913,39,Successful,115.64
108,1955,40,Failed,85.57
109,2021,41,Partially Successful,114.72
110,2028,41,Partially Successful,86.67
111,2034,41,Partially Successful,97.22
112,2079,42,Partially Successful,137.62
113,2092,42,Successful,159.08
114,2101,43,Failed,58.36
115,2108,43,Failed,179.37
116,2110,43,Successful,49.26
117,2114,43,Successful,115.96
118,2120,43,Partially Successful,50.82
119,2123,43,Failed,164.73
120,2125,43,Successful,165.77
121,2129,43,Partially Successful,111.38
122,2136,43,Partially Successful,141.42
123,2201,45,Partially Successful,146.24
124,2214,45,Failed,68.5
125,2244,45,Failed,60.73
126,2287,46,Failed,140.21
127,2315,47,Failed,149.77
128,2409,49,Failed,61.65
129,2416,49,Successful,123.74
130,2426,49,Failed,32.17
131,2428,49,Partially Successful,90.88
132,2430,49,Failed,117.67
133,2433,49,Successful,172.21
134,2435,49,Successful,121.32
135,2461,50,Successful,56.69
136,2486,50,Partially Successful,143.91
137,2499,50,Failed,34.34
138,2504,51,Partially Successful,35.02
139,2528,51,Failed,93.77
140,2530,51,Successful,61.16
141,2554,52,Failed,152.92
142,2556,52,Partially Successful,168.78
143,2570,52,Partially Successful,141.59
144,2572,52,Partially Successful,56.62
145,2577,52,Failed,109.5
146,2582,52,Successful,42.54
147,2737,55,Partially Successful,26.16
148,2783,56,Successful,172.01
149,2790,56,Failed,61.08
150,2792,56,Failed,118.58
151,2799,56,Partially Successful,111.42
152,2804,57,Failed,123.48
153,2806,57,Failed,74.18
154,2837,57,Partially Successful,172.96
155,2863,58,Successful,72.17
156,2872,58,Successful,73.18
157,2886,58,Partially Successful,37.54
158,2907,59,Successful,36.73
159,2914,59,Failed,134.55
160,2928,59,Partially Successful,167.85
161,2939,59,Successful,142.25
162,2950,59,Partially Successful,125.36
163,2964,60,Failed,154.5
164,2969,60,Successful,36.42
165,2980,60,Successful,117.67
166,2986,60,Successful,129.21
167,3038,61,Successful,172.63
168,3056,62,Successful,133.17
169,3060,62,Failed,97.37
170,3068,62,Failed,179.12
171,3077,62,Failed,168.18
172,3080,62,Failed,170.65
173,3092,62,Successful,143.91
174,3097,62,Partially Successful,118.25
175,3129,63,Failed,133.46
176,3133,63,Successful,52.26
177,3157,64,Failed,57.49
178,3193,64,Successful,160.67
179,3197,64,Failed,57.6
180,3295,66,Partially Successful,144.43
181,3302,67,Failed,152.57
182,3353,68,Failed,36.82
183,3365,68,Successful,132.43
184,3392,68,Failed,35.98
185,3393,68,Successful,34.35
186,3395,68,Successful,117.72
187,3396,68,Failed,65.52
188,3403,69,Failed,71.7
189,3408,69,Partially Successful,31.2
190,3432,69,Successful,53.06
191,3439,69,Successful,29.8
192,3440,69,Failed,24.34
193,3444,69,Successful,163.82
194,3445,69,Failed,35.75
195,3477,70,Failed,106.94
196,3503,71,Partially Successful,54.05
197,3505,71,Successful,29.13
198,3507,71,Partially Successful,24.53
199,3513,71,Partially Successful,159.43
200,3516,71,Partially Successful,96.96
201,3527,71,Successful,49.62
202,3529,71,Failed,104.62
203,3574,72,Successful,155.58
204,3610,73,Partially Successful,148.97
205,3650,73,Partially Successful,97.02
206,3697,74,Successful,83.66
207,3699,74,Failed,72.33
208,3710,75,Failed,99.09
209,3715,75,Successful,29.66
210,3732,75,Partially Successful,137.67
211,3790,76,Failed,114.93
212,3804,77,Successful,85.49
213,3925,79,Failed,130.4
214,3953,80,Partially Successful,147.63
215,3971,80,Successful,179.77
216,3986,80,Partially Successful,79.44
217,4034,81,Failed,70.76
218,4036,81,Partially Successful,80.61
219,4037,81,Partially Successful,106.37
220,4051,82,Failed,125.64
221,4060,82,Successful,71.41
222,4068,82,Failed,68.12
223,4107,83,Successful,165.66
224,4128,83,Partially Successful,126.54
225,4159,84,Partially Successful,115.39
226,4172,84,Successful,33.83
227,4176,84,Partially Successful,53.18
228,4204,85,Successful,174.11
229,4246,85,Partially Successful,43.13
230,4250,85,Partially Successful,42.21
231,4257,86,Failed,142.96
232,4328,87,Partially Successful,125.87
233,4405,89,Failed,146.12
234,4407,89,Failed,171.34
235,4422,89,Partially Successful,85.79
236,4439,89,Partially Successful,118.47
237,4446,89,Failed,150.53
238,4463,90,Successful,177.82
