alert_id,customer_id,alert_type,severity,resolved
1,1,Ransomware,High,No
2,1,Malware,Low,Yes
3,1,Malware,High,No
4,1,Malware,Medium,Yes
5,1,Unauthorized Access,High,Yes
6,2,Unauthorized Access,High,No
7,2,Unauthorized Access,High,Yes
8,2,Ransomware,Medium,No
9,3,Policy Violation,Low,No
10,3,Unauthorized Access,Low,No
11,4,Malware,Medium,No
12,4,Malware,High,Yes
13,4,Unauthorized Access,Low,No
14,4,Malware,High,Yes
15,5,Malware,Medium,Yes
16,6,Ransomware,High,No
17,8,Malware,Medium,No
18,8,Malware,Medium,Yes
19,8,Unauthorized Access,Medium,No
20,9,Ransomware,Medium,Yes
21,9,Malware,Medium,No
22,9,Malware,High,Yes
23,10,Ransomware,Medium,No
24,11,Unauthorized Access,Medium,No
25,11,Policy Violation,Low,Yes
26,11,Unauthorized Access,High,No
27,13,Unauthorized Access,High,No
28,13,Malware,Medium,No
29,13,Unauthorized Access,Medium,Yes
30,14,Malware,Medium,No
31,14,Policy Violation,High,No
32,15,Ransomware,Low,No
33,15,Unauthorized Access,High,Yes
34,16,Unauthorized Access,Medium,Yes
35,16,Policy Violation,Low,Yes
36,16,Malware,Medium,No
37,16,Ransomware,Medium,No
38,16,Policy Violation,High,Yes
39,17,Malware,High,No
40,17,Malware,High,No
41,17,Policy Violation,Low,No
42,17,Ransomware,High,No
43,18,Malware,Low,No
44,18,Ransomware,Low,No
45,18,Malware,Low,No
46,19,Malware,Low,Yes
47,20,Unauthorized Access,Medium,No
48,21,Policy Violation,Low,Yes
49,21,Malware,Medium,Yes
50,21,Ransomware,High,No
51,21,Malware,Medium,Yes
52,22,Policy Violation,Low,No
53,23,Ransomware,Medium,No
54,23,Unauthorized Access,High,No
55,23,Malware,High,Yes
56,23,Unauthorized Access,Medium,Yes
57,24,Ransomware,Medium,No
58,24,Malware,Medium,Yes
59,24,Ransomware,High,No
60,24,Policy Violation,Low,Yes
61,25,Unauthorized Access,High,No
62,25,Unauthorized Access,Low,No
63,25,Policy Violation,High,Yes
64,25,Unauthorized Access,Medium,No
65,25,Ransomware,High,No
66,26,Unauthorized Access,High,Yes
67,26,Policy Violation,Low,Yes
68,26,Unauthorized Access,Medium,Yes
69,29,Policy Violation,High,No
70,29,Unauthorized Access,Medium,No
71,29,Ransomware,Medium,No
72,29,Malware,High,Yes
73,29,Policy Violation,High,Yes
74,31,Unauthorized Access,Low,Yes
75,31,Unauthorized Access,Medium,No
76,32,Ransomware,Medium,No
77,33,Unauthorized Access,High,No
78,33,Malware,Low,No
79,34,Policy Violation,Low,No
80,34,Unauthorized Access,Medium,No
81,34,Ransomware,Medium,Yes
82,34,Policy Violation,Medium,Yes
83,35,Malware,High,Yes
84,35,Malware,Low,Yes
85,35,Policy Violation,Medium,No
86,35,Ransomware,Medium,No
87,35,Policy Violation,Medium,Yes
88,36,Malware,Low,No
89,36,Unauthorized Access,Low,No
90,36,Malware,Medium,Yes
91,36,Unauthorized Access,Low,Yes
92,36,Policy Violation,Low,Yes
93,37,Unauthorized Access,Low,Yes
94,37,Malware,Low,Yes
95,37,Unauthorized Access,Medium,No
96,37,Policy Violation,Medium,Yes
97,38,Policy Violation,Medium,Yes
98,39,Malware,Medium,No
99,39,Ransomware,High,No
100,40,Ransomware,Low,Yes
101,40,Unauthorized Access,High,Yes
102,40,Ransomware,High,No
103,41,Policy Violation,High,No
104,41,Malware,Medium,No
105,41,Unauthorized Access,Low,No
106,41,Policy Violation,Medium,Yes
107,41,Unauthorized Access,High,Yes
108,42,Policy Violation,Low,No
109,43,Policy Violation,Medium,No
110,43,Policy Violation,Low,Yes
111,43,Malware,Low,No
112,43,Ransomware,Medium,No
113,43,Ransomware,High,Yes
114,44,Policy Violation,High,Yes
115,45,Ransomware,High,No
116,45,Policy Violation,Low,No
117,45,Unauthorized Access,Low,Yes
118,45,Ransomware,Medium,No
119,45,Policy Violation,Low,Yes
120,47,Ransomware,High,Yes
121,47,Unauthorized Access,High,No
122,48,Policy Violation,Low,Yes
123,48,Malware,High,Yes
124,48,Malware,High,Yes
125,48,Policy Violation,High,No
126,48,Ransomware,Low,No
127,49,Ransomware,Low,Yes
128,49,Unauthorized Access,High,Yes
129,49,Ransomware,Medium,Yes
130,49,Ransomware,High,Yes
131,49,Policy Violation,Low,Yes
132,50,Unauthorized Access,Low,Yes
133,50,Malware,High,Yes
134,51,Policy Violation,Low,Yes
135,51,Ransomware,Medium,No
136,52,Unauthorized Access,Medium,Yes
137,52,Ransomware,Low,No
138,52,Malware,High,No
139,53,Policy Violation,Low,Yes
140,53,Malware,Medium,No
141,54,Ransomware,High,No
142,54,Unauthorized Access,Medium,Yes
143,54,Policy Violation,Medium,No
144,54,Ransomware,Medium,No
145,54,Ransomware,High,No
146,55,Unauthorized Access,Low,No
147,55,Policy Violation,Low,No
148,55,Unauthorized Access,Low,Yes
149,55,Unauthorized Access,High,No
150,55,Policy Violation,Medium,Yes
151,56,Malware,Medium,No
152,56,Ransomware,High,No
153,56,Unauthorized Access,Low,No
154,56,Malware,Low,Yes
155,57,Policy Violation,Medium,No
156,57,Policy Violation,High,No
157,57,Ransomware,Low,Yes
158,57,Malware,Medium,No
159,57,Policy Violation,High,No
160,58,Malware,High,No
161,60,Ransomware,Low,No
162,60,Ransomware,High,No
163,60,Policy Violation,Medium,No
164,61,Unauthorized Access,Low,No
165,61,Policy Violation,Low,Yes
166,61,Malware,Medium,Yes
167,61,Ransomware,Low,Yes
168,61,Malware,High,Yes
169,62,Ransomware,Low,No
170,62,Malware,High,Yes
171,62,Policy Violation,Low,No
172,63,Ransomware,Low,No
173,63,Malware,Low,No
174,63,Policy Violation,Medium,Yes
175,63,Unauthorized Access,Low,No
176,63,Ransomware,Medium,No
177,64,Policy Violation,Medium,Yes
178,64,Unauthorized Access,Low,Yes
179,64,Policy Violation,Low,No
180,65,Malware,Low,No
181,65,Unauthorized Access,Low,No
182,65,Ransomware,High,Yes
183,65,Unauthorized Access,Medium,No
184,66,Policy Violation,Medium,No
185,66,Unauthorized Access,Medium,Yes
186,66,Policy Violation,High,Yes
187,66,Malware,High,Yes
188,67,Malware,Medium,No
189,67,Unauthorized Access,High,Yes
190,67,Ransomware,Low,No
191,67,Policy Violation,Low,No
192,67,Policy Violation,Low,No
193,68,Policy Violation,Low,No
194,68,Malware,Low,Yes
195,68,Malware,Medium,Yes
196,69,Ransomware,Low,Yes
197,69,Policy Violation,Low,Yes
198,70,Ransomware,High,Yes
199,71,Policy Violation,High,Yes
200,71,Ransomware,Low,No
201,71,Policy Violation,Low,Yes
202,71,Policy Violation,Medium,Yes
203,72,Policy Violation,Medium,No
204,72,Malware,Low,No
205,72,Malware,Low,No
206,72,Policy Violation,Medium,Yes
207,73,Unauthorized Access,Medium,No
208,74,Ransomware,Medium,Yes
209,74,Unauthorized Access,High,No
210,74,Malware,Low,No
211,74,Unauthorized Access,Low,Yes
212,75,Policy Violation,Low,Yes
213,76,Policy Violation,Medium,Yes
214,76,Malware,Low,Yes
215,77,Unauthorized Access,Medium,Yes
216,77,Unauthorized Access,Low,Yes
217,77,Malware,High,Yes
218,77,Unauthorized Access,Medium,Yes
219,77,Malware,Low,No
220,78,Malware,Medium,No
221,78,Policy Violation,Medium,Yes
222,79,Malware,Low,Yes
223,79,Unauthorized Access,Medium,No
224,79,Malware,High,Yes
225,79,Policy Violation,Medium,No
226,80,Malware,Medium,Yes
227,80,Unauthorized Access,Medium,Yes
228,80,Ransomware,High,Yes
229,80,Malware,High,No
230,81,Malware,High,No
231,81,Policy Violation,High,No
232,81,Unauthorized Access,Low,No
233,83,Ransomware,High,Yes
234,83,Malware,Low,No
235,83,Ransomware,High,No
236,83,Ransomware,Medium,No
237,83,Ransomware,High,Yes
238,84,Ransomware,Low,No
239,84,Policy Violation,Low,Yes
240,84,Malware,Low,No
241,85,Ransomware,Medium,No
242,86,Unauthorized Access,High,No
243,86,Malware,Medium,No
244,87,Policy Violation,Low,No
245,88,Policy Violation,Medium,Yes
246,88,Policy Violation,High,Yes
247,89,Ransomware,Low,No
248,89,Unauthorized Access,High,Yes
249,89,Unauthorized Access,Medium,Yes
250,89,Malware,High,No
251,89,Policy Violation,High,No
252,91,Policy Violation,Low,Yes
253,91,Ransomware,Medium,No
254,91,Malware,High,No
255,92,Ransomware,Low,No
256,92,Ransomware,Low,No
257,93,Malware,High,Yes
258,93,Ransomware,High,Yes
259,94,Policy Violation,High,Yes
260,94,Malware,Medium,No
261,94,Policy Violation,High,Yes
262,95,Ransomware,Low,No
263,95,Ransomware,Low,No
264,95,Unauthorized Access,High,Yes
265,95,Ransomware,High,No
266,95,Unauthorized Access,High,Yes
267,96,Unauthorized Access,Low,No
268,96,Ransomware,Low,No
269,96,Policy Violation,Low,Yes
270,97,Ransomware,Medium,Yes
271,97,Ransomware,High,Yes
272,97,Policy Violation,Medium,Yes
273,97,Policy Violation,High,Yes
274,99,Policy Violation,Low,Yes
275,99,Malware,Low,No
276,100,Ransomware,Low,Yes
277,100,Malware,High,No
278,100,Ransomware,Medium,Yes
279,101,Ransomware,Low,No
280,102,Malware,Low,Yes
281,102,Policy Violation,High,Yes
282,104,Malware,Low,No
283,104,Unauthorized Access,Low,Yes
284,104,Malware,Medium,No
285,104,Unauthorized Access,High,Yes
286,104,Malware,High,Yes
287,105,Unauthorized Access,Low,Yes
288,105,Unauthorized Access,High,No
289,105,Unauthorized Access,Low,Yes
290,105,Malware,High,Yes
291,105,Unauthorized Access,High,Yes
292,106,Policy Violation,High,Yes
293,107,Unauthorized Access,Low,No
294,108,Ransomware,Medium,No
295,108,Malware,Medium,No
296,108,Unauthorized Access,Low,Yes
297,111,Policy Violation,High,Yes
298,111,Policy Violation,Medium,No
299,111,Policy Violation,High,No
300,111,Malware,Low,Yes
301,111,Malware,High,Yes
302,112,Unauthorized Access,Medium,No
303,112,Malware,Low,No
304,112,Ransomware,Low,Yes
305,112,Ransomware,Low,Yes
306,112,Policy Violation,Low,Yes
307,113,Unauthorized Access,Medium,No
308,113,Ransomware,Medium,Yes
309,113,Malware,Low,Yes
310,114,Malware,Low,Yes
311,115,Unauthorized Access,High,No
312,115,Malware,Medium,No
313,115,Unauthorized Access,Medium,Yes
314,116,Unauthorized Access,Low,Yes
315,116,Malware,High,Yes
316,117,Ransomware,Low,No
317,117,Unauthorized Access,Low,Yes
318,117,Policy Violation,High,Yes
319,118,Unauthorized Access,High,No
320,118,Ransomware,Low,Yes
321,118,Malware,High,Yes
322,120,Policy Violation,Medium,Yes
323,120,Ransomware,Low,Yes
324,120,Unauthorized Access,High,No
325,120,Ransomware,High,No
326,121,Policy Violation,Medium,No
327,121,Policy Violation,Medium,No
328,122,Ransomware,Medium,Yes
329,122,Unauthorized Access,Low,Yes
330,122,Unauthorized Access,High,Yes
331,122,Malware,Medium,Yes
332,123,Unauthorized Access,Low,Yes
333,123,Malware,High,Yes
334,123,Unauthorized Access,Low,Yes
335,123,Unauthorized Access,Low,Yes
336,123,Ransomware,High,Yes
337,124,Unauthorized Access,High,No
338,124,Policy Violation,Low,Yes
339,126,Unauthorized Access,High,Yes
340,127,Malware,High,No
